Price (Dollar),discount_percentage,price_before_discount,rating_out_of_5,number_of_ratings,brand,Storage (GB),screen_size (Inches),Price_Category
87.87,0.0,87.87,4.1,309.0,182,16.0,5.0,0
249.99,0.0,249.99,4.4,305.0,84,256.0,6.7,1
80.45,59.77,199.99,4.2,304.0,102,64.0,6.0,0
139.99,0.0,139.99,4.1,304.0,138,64.0,6.6,0
557.99,0.0,557.99,3.7,303.0,73,128.0,6.71,2
229.99,0.0,229.99,4.3,301.0,108,64.0,6.5,1
119.0,0.0,119.0,4.2,299.0,138,64.0,6.5,0
99.99,0.0,99.99,4.2,297.0,138,16.0,5.0,0
299.0,0.0,299.0,4.0,297.0,113,6.0,6.67,1
352.9,4.87,370.95,4.0,297.0,102,256.0,6.8,1
45.99,0.0,45.99,4.0,295.0,209,32.0,5.45,0
109.99,0.0,109.99,3.5,293.0,22,16.0,5.0,0
134.99,0.0,134.99,3.3,291.0,111,128.0,6.5,0
459.25,0.0,459.25,4.3,290.0,138,128.0,6.1,2
399.99,0.0,399.99,4.0,290.0,138,16.0,4.8,1
49.62,0.0,49.62,3.9,289.0,168,32.0,6.5,0
982.26,7.33,1059.95,4.2,288.0,15,256.0,6.7,2
277.8,32.74,413.0,4.1,286.0,138,128.0,6.6,1
75.0,24.99,99.99,4.0,285.0,108,32.0,6.5,0
349.0,7.92,379.0,3.8,285.0,38,256.0,6.58,1
120.0,7.69,130.0,3.9,285.0,108,32.0,5.2,0
84.99,15.0,99.99,3.8,284.0,4,0.12,2.8,0
72.0,0.0,72.0,3.9,284.0,157,64.0,6.2,0
129.0,0.0,129.0,4.0,284.0,102,128.0,6.1,0
